Place,State,Rating(/5),Details,Landmarks,Starting Prices,Link
Gangtok,Sikkim,4.4,"Incredibly alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital of Sikkim, is one of the most popular hill stations in India. Lying at the height of 1650 m above sea level, the town during its bright sunny days offers spectacular views of Mt. Kanchenjunga. Gangtok is a base for adventure enthusiasts comprising of trekkers and campers to the Himalayan mountain ranges. During the months of March to Mid-May, blooming of wild Rhododendrons transform the surrounding regions in vast fields of colourful carpets.","['Nathula Pass', 'MG Road, Gangtok', 'Rumtek Monastery']","4,190",https://www.holidify.com/explore/places/gangtok/
Darjeeling,West Bengal,4.3,"Jaw-dropping locales, mesmerising sunrises, the untouched beauty of the hills, the old-world charm of the past, and the welcoming smiles of the local people all add up to make Darjeeling one of the most beautiful hill stations in Eastern part of India. Spread over a steep mountain ridge, nestled amidst acres of lush green tea plantations, Darjeeling stands at the height of 2,050 meters above sea level, thus boasting of cool climes all year round. This scenic hill station is the perfect getaway for a romantic honeymoon and is just around 700 kilometres away from Kolkata.","['Darjeeling Himalayan Railway', 'Tiger Hill', 'Batasia Loop']","5,260",https://www.holidify.com/explore/places/darjeeling/
Udaipur,Rajasthan,4.3,"Udaipur, also known as the City of Lakes, is the crown jewel of the state of Rajasthan. It is surrounded by the beautiful Aravalli Hills in all directions, making this city as lovely as it is. This 'Venice of the East' has an abundance of natural beauty, mesmerising temples and breathtaking architecture which makes it a must-visit destination in India.  A boat ride through the serene waters of Lake Pichola will be enough to prove to you why Udaipur is the pride of Rajasthan.","['Lake Pichola', 'City Palace, Udaipur', 'Fateh Sagar Lake']","5,228",https://www.holidify.com/explore/places/udaipur/
Mcleodganj,Himachal Pradesh,4.3,"Mcleodganj is a hill station near Dharamshala, popular among trekkers. Located in Kangra district, Mcleodganj's culture is a beautiful blend of Tibetan with some British influence.","['Bhagsu Falls', 'Namgyal Monastery', 'Bhagsunag Temple']","3,800",https://www.holidify.com/explore/places/mcleodganj/
Munnar,Kerala,4.5,"Munnar is a popular hill station of Kerala perched at an altitude of 1600 metres in the Western Ghats. Famous for its tea estates, various shades of green, blankets of mist forming natural-view points, Munnar is aptly known as the 'Kashmir of South India'.","['Top Station', 'Echo Point, Munnar', 'Atukkad Waterfalls']","1,900",https://www.holidify.com/explore/places/munnar/
Coorg,Karnataka,4.2,"Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is a popular coffee producing hill station. It is popular for its beautiful green hills and the streams cutting right through them. It also stands as a popular destination because of its culture and people. The Kodavas, a local clan specializing in martial arts, are especially notable for their keen hospitality.","['Abbey Falls', 'Talakaveri', ""Raja's Seat""]","7,009",https://www.holidify.com/explore/places/coorg/
Manali,Himachal Pradesh,4.5,"One of the most popular hill stations in Himachal, Manali offers the most magnificent views of the Pir Panjal and the Dhauladhar ranges covered with snow for most parts of the year.","['Solang Valley', 'Rohtang Pass', 'Old Manali']","1,900",https://www.holidify.com/explore/places/manali/
Ooty,Tamil Nadu,4.2,"Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway.","['Nilgiri Mountain Railway', 'Ooty Lake', 'Emerald Lake, Ooty']",NaN,https://www.holidify.com/explore/places/ooty/
Kasol,Himachal Pradesh,4.4,"Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. Kasol is situated 23 kms from Bhuntar and next to the religious town of Manikaran and is one of the best places in the country just to sit back and chill in the panorama of snow-clad mountains, pine trees and gurgling river.","['Parvati River', 'Chalal', 'Malana']","2,000",https://www.holidify.com/explore/places/kasol/
Shimla,Himachal Pradesh,4.2,"Shimla is the capital Himachal Pradesh in India and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, Shimla was the summer capital of British India. Shimla still retains its old-world charm with beautiful colonial architecture, pedestrian-friendly Mall Road and the ridge lined up with multiple shops, cafes and restaurants.","['The Ridge', 'Mall Road, Shimla', 'Kufri']","6,500",https://www.holidify.com/explore/places/shimla/
Nainital,Uttarakhand,4.3,"Nainital is a charming hill station located at the foothills of the Kumaon ranges in Uttarakhand. Located close to Dehradun and Delhi, it is the most visited hill station in North India. Nainital is a perfect weekend getaway from Delhi and the nearby places.","['Naini Lake', 'Eco Cave Gardens', 'Snow View Point']","3,500",https://www.holidify.com/explore/places/nainital/
Dalhousie,Himachal Pradesh,4.3,"Dalhousie, a popular hill station in Himachal Pradesh is situated at a height of 1,970 metres above sea level. Boasting views of the snow-capped peaks of Dhauladhar ranges, Dalhousie is famous for its meadows, dense jungles and waterfalls. Established in 1854, it was named after Lord Dalhousie and this hill station was one of the favourite summer destinations of the Britishers during the colonial era.","['Panchpula', 'Khajjiar', 'Kalatop Wildlife Sanctuary']","6,500",https://www.holidify.com/explore/places/dalhousie/
Wayanad,Kerala,4.3,"Replete with waterfalls, historical caves, comfortable resorts and homestays, Wayanad in Kerala is famous for its spice plantations and wildlife. Walking through the sprawling spice plantations, trekking to the pre-historic caves and experiencing a resort holiday are one of the many things you can do to get a taste of Wayanad.","['Banasura Sagar Dam', 'Wayanad Wildlife Sanctuary', 'Chembra Peak']",NaN,https://www.holidify.com/explore/places/wayanad/
Pondicherry,Pondicherry,4.1,"Pondicherry, officially known as Puducherry, and commonly referred to as just Pondy, is one of the seven Union Territories of India which is bounded by the southern state of Tamil Nadu. This former French colony is a perfect amalgamation of the traditional Indian sensibilities and French architecture, making it a dreamy escape that offers the best of both worlds.","['Paradise Beach, Pondicherry', 'Aurobindo Ashram', 'Auroville']","6,768",https://www.holidify.com/explore/places/pondicherry/
Alleppey,Kerala,4.5,"Officially called Alappuzha, Alleppey is the picture-perfect place known for its beautiful backwaters and the houseboats offering overnight stays. The coastline of Alleppey offers some of the best beaches in Kerala with water sports during the dry season.","['Stay in Houseboat', 'Marari Beach', 'Alappuzha Beach']","7,500",https://www.holidify.com/explore/places/alleppey/
Delhi,Delhi,4.1,"The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the city with a heart.","['India Gate', 'Qutub Minar', ""Humayun's Tomb""]","2,000",https://www.holidify.com/explore/places/delhi/
Mussoorie,Uttarakhand,4.1,"Mussoorie is one of the most popular hill stations located at a distance of 290 km from Delhi in Dehradun district of Uttarakhand. With a backdrop of Shivalik range of Himalayas and doon valley, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level and has a cool, pleasant climate throughout the year. Once the British summer capital, Mussoorie is a popular getaway for honeymooners and families.","['Landour', 'Mussoorie Mall Road', 'Kempty Falls']","8,499",https://www.holidify.com/explore/places/mussoorie/
Rishikesh,Uttarakhand,4.3,"Located in the foothills of the Himalayas along the convergence of Ganga and Chandrabhaga River, Rishikesh is a small town in the Dehradun district, located close to Haridwar in Uttarakhand. Rishikesh (also called as Hrishikesh) is known for its adventure activities, ancient temples, popular cafes and as the ""Yoga Capital of the World"". Gateway to Garhwal Himalayas, Rishikesh is also a pilgrimage town and one of the holiest places for Hindus.","['Rafting in Rishikesh', 'Lakshman Jhula', 'Triveni Ghat']","1,500",https://www.holidify.com/explore/places/rishikesh/
Gokarna,Karnataka,4.3,"With its pristine beaches and breathtaking landscapes, Gokarna is a Hindu pilgrimage town in Karnataka and a newly found hub for beach lovers and hippies. Situated on the coast of Karwar, every year Gokarna welcomes hordes of tourists from around the world in search of sanctity and relaxation. The out-of-town beaches like Kudle beach and Om Beach are a different contrast to life inside the town.","['Om Beach', 'Mahabaleshwara Temple', 'Paradise Beach, Gokarna']",NaN,https://www.holidify.com/explore/places/gokarna/
Khajjiar,Himachal Pradesh,4.3,"Often referred to as 'mini-Switzerland of India', Khajjiar is a small town located close (20km) to Dalhousie and is great for a day or overnight trip. Khajjiar is known for its grassy meadows, deodar forests, and cottages. There is a small lake in the middle of the meadow and you could enjoy the scenery by yourself or take part in some of the adventure sports including paragliding, zorbing, and horse-riding.","['Adventure Activities in Khajjiar', 'Khajjiar lake', 'Kalatop Wildlife Sanctuary']","4,000",https://www.holidify.com/explore/places/khajjiar/
Sonamarg,Jammu & Kashmir,4.4,"Sonamarg is a picturesque hill station in Jammu and Kashmir, located 80km north-east of Srinagar. At an elevation of around 2800 km from sea level, Sonamarg is known for its snow-laden fields, surrounded by majestic glaciers and serene lakes which casts subtle spells on the travellers.","['Thajiwas Glacier', 'Zoji La', 'Vishansar Lake']","7,500",https://www.holidify.com/explore/places/sonamarg/
Srinagar,Jammu & Kashmir,4.5,"Famously known as ‘Heaven on Earth’, Srinagar is located in the union territory of Jammu & Kashmir, on the banks of river Jhelum. As picturesque as the most stunning painting to ever be painted, Srinagar is known for the stationary houseboats and colourful Shikararas on Dal Lake.","['Dal Lake', 'Shalimar Bagh', 'Wular Lake']","4,514",https://www.holidify.com/explore/places/srinagar/
Kodaikanal,Tamil Nadu,4.4,"Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaikanal means 'the gift of the forests'.","['Green Valley View (Suicide Point)', 'Kodaikanal Lake', 'Bear Shola Falls']",NaN,https://www.holidify.com/explore/places/kodaikanal/
Nandi,Karnataka,4.0,"Located around 60 kilometres away from Bangalore, Nandi Hills is one such tourist spot that has gradually been discovered by visitors over the years and has now become a well-known weekend getaway.","[""Tipu's Drop"", 'Bhoga Nandeeshwara Temple', ""Tipu's Summer Residence""]","1,180",https://www.holidify.com/explore/places/nandi-hills/
Mumbai,Maharashtra,4.2,"Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyles.","['Elephanta caves', 'Marine Drive, Mumbai', 'Juhu Beach']",NaN,https://www.holidify.com/explore/places/mumbai/
Ziro,Arunachal Pradesh,4.5,"The cradle to a unique tribal group and a balmy climate, Ziro is the peace seeker's paradise. Ziro is a quaint old town in Arunachal Pradesh, home to the Apa Tani tribe and famous for its pine hills and rice fields.","['Tarin Fish Farm - Paddy cultivation', 'Kile Pakho', 'Talley Valley Wildlife Sanctuary']","6,000",https://www.holidify.com/explore/places/ziro/
Bangalore,Karnataka,4.1,"Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee roasters and pubs dotting every corner of the city, serving cuisines from all over the world. Brunches, buffets, burgers, rooftop cafes, late-night eats - Bangalore has it all.","['Lalbagh', 'Bannerghatta National Park', 'Bangalore Palace']",NaN,https://www.holidify.com/explore/places/bangalore/
Lonavala,Maharashtra,4.1,"Situated in the Sahyadri range of the Western Ghats close to Pune and Mumbai, Lonavala is the most visited hill station in Maharashtra and the place to be during monsoons. With lots of waterfalls, lakes and hills around, it is a popular destination for camping, trekking and other adventure sports.","[""Tiger's Leap"", 'Rajmachi Fort', 'Imagicaa']",NaN,https://www.holidify.com/explore/places/lonavala/
Mysore,Karnataka,4.2,"Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and sandalwood, to name just a few. Located in the foothills of the Chamundi Hills, Mysore is the third most populated city in Karnataka, and its rich heritage draws millions of tourists all year round. The highlight is the majestic Mysore Palace, a UNESCO World Heritage Site, which is a must-visit.","['Mysore Palace', 'Brindavan Gardens', 'Mysore Zoo']",NaN,https://www.holidify.com/explore/places/mysore/
Varanasi,Uttar Pradesh,4.4,"World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be prepared to walk on foot and encounter some holy cows! Temples at almost every turn engulf Varanasi but the Kashi Vishwanath Temple is the most visited and the oldest of the lot. Benaras is known as the city of Lord Shiva for a reason, and rightfully so.","['Kashi Vishwanath Temple', 'Dashashwamedh Ghat', 'Sankat Mochan Hanuman Temple']",NaN,https://www.holidify.com/explore/places/varanasi/
Ajanta,Maharashtra,4.3,"Ajanta and Ellora caves, considered to be one of the finest examples of ancient rock-cut caves, are located near Aurangabad in Maharashtra, India. Ajanta and Ellora caves complex is adorned with beautiful sculptures, paintings, and frescoes and include Buddhist monasteries, Hindu and Jain temples. The Ajanta caves are 29 in number and were built between the 2nd century BC and 6th century AD, whereas the Ellora Caves are more spread out and 34 in number and dates to the period between 6th and 11th Century AD.","['Ajanta Caves', 'Grishneshwar Temple, Ellora', 'The Buddhist Caves, Ellora']","1,168",https://www.holidify.com/explore/places/ajanta-and-ellora-caves/
Kovalam,Kerala,4.2,"Kovalam is an idyllic coastal town located around 13 km from Thiruvananthapuram in Kerala. Famous for its three adjacent crescent-shaped shallow water and low tidal beaches, Kovalam is dotted with resorts and ayurvedic massage centres.","['Vellayani Lake, Kovalam', 'Water Sports in Kovalam', 'Lighthouse Beach']","7,499",https://www.holidify.com/explore/places/kovalam/
Matheran,Maharashtra,4.3,"Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to “overhead forest”, Matheran is the smallest hill station in India but is extremely popular in terms of tourists looking for a short trip amid spectacular vistas and serenity.","['Louisa point', 'Charlotte lake', 'Monkey Point Matheran']",NaN,https://www.holidify.com/explore/places/matheran/
Valley,Uttarakhand,4.6,"Valley of Flowers is located in Chamoli district (near Badrinath) of Uttarakhand, approximately 300 km to the north of Rishikesh.  Valley of flowers is a World Heritage Site for its wild untamed blooms surrounded by white peaks. It is open from June to September every year.","['Valley of Flowers National Park', 'Nanda Devi National Park', 'Fauna & Flora']",NaN,https://www.holidify.com/explore/places/valley-of-flowers/
Lansdowne,Uttarakhand,4.0,"Lansdowne is a quaint little hill town located at a distance of 258 km from Delhi in Pauri district of Uttarakhand. Laden with oak and pine forest and dotted with buildings of the colonial era, this hill station is a haven for bird watchers, casual hikers and weekenders from NCR.","['Bhulla Lake', 'Tip N Top', 'Tarkeshwar Mahadev Temple']",NaN,https://www.holidify.com/explore/places/lansdowne/
Kudremukh,Karnataka,4.5,"Popular and named after a mountainside that resembles a horse's face, Kudremukh is famous for its biodiversity and scenic beauty. A popular hill-station among the Bangalore crowd, Kudremukh is actually a hill range in the Chikmagalur district of Karnataka. Kudremukh Peak is a paradise for trekkers and naturists alike, with its mountainous paths and floral and faunal diversity.","['Kudremukh Trek', 'Kudremukh National Park', 'Hanuman Gundi Falls']","5,999",https://www.holidify.com/explore/places/kudremukh/
Mahabaleshwar,Maharashtra,4.4,"Mahabaleshwar is a hill station located in the Western Ghats, in Satara district of Maharashtra. Apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. It is among the most sought after weekend getaways from Pune & Mumbai, located about 120km south-west of Pune and 285km from Mumbai.","[""Elephant's Head point"", ""Chinaman's falls"", 'Dhobi waterfall']",NaN,https://www.holidify.com/explore/places/mahabaleshwar/
Hyderabad,Andhra Pradesh,4.1,"A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting. Maybe even more than once.","['Ramoji Film City', 'Durgam Cheruvu', 'Charminar']",NaN,https://www.holidify.com/explore/places/hyderabad/
Kutch,Gujarat,4.4,"Virtually an island that resembles the shape of a tortoise, Kutch is an erstwhile princely state of India holding onto its grandeur nature from the past. Kutch is probably one of the most beautiful, yet surreal places in India with the vast expanses of the white salt desert.  The place comes to life during the winters when the Rann Festival is held during December-February everywhere in which there are huge camp settlements with cultural programs, functions and adventure activities like hot-air ballooning.","['Rann of Kutch', 'Kutch Desert Wildlife Sanctuary', 'Dholavira']",NaN,https://www.holidify.com/explore/places/kutch/
Varkala,Kerala,4.5,"Varkala is a coastal town in the southern part of Kerala known for the unique 15m high 'Northern Cliff' adjacent to the Arabian Sea. It is popular for its hippie culture, shacks on the cliff serving great seafood and playing global music and the samadhi of Kerala's saint Sree Narayana Guru. Varkala is also known for Jardana Swami Temple, also known as Dakshin Kashi.","['Water Sports in Varkala', 'Varkala Beach', 'Edava Beach']","9,000",https://www.holidify.com/explore/places/varkala/
Haridwar,Uttarakhand,4.0,"Haridwar, considered to be among the seven holiest cities in India, is an ancient city located on the banks of River Ganga in the Garhwal region of Uttarakhand. Dotted with temples, ashrams and narrow lanes across the city, Haridwar is a famous Hindu temple town where millions of devotees come to take a dip in the holy Ganges. It's believed that taking a dip in the holy Har Ki Pauri relieves you of all your sins.","['Ganga Aarti in Haridwar', 'Har Ki Pauri', 'Chandi Devi Temple']","2,000",https://www.holidify.com/explore/places/haridwar/
Kinnaur,Himachal Pradesh,4.3,"One of the twelve districts of Himachal Pradesh, Kinnaur is located on the Indo-Tibet border. Situated at a distance of 235 km from Shimla, Kinnaur hosts the views of Zanskar Valley, snow-draped Dhauladar range, Chitkul - The last village on the indo-Tibet border and have Satluj, Baspa and Spiti rivers meandering through it.","['Reckong Peo', 'Kalpa', 'Sarahan']","7,900",https://www.holidify.com/explore/places/kinnaur/
Tawang,Arunachal Pradesh,4.7,"Located at a height of about 3048m, is known for many important and beautiful monasteries and is famous for being the birthplace of the 6th Dalai Lama, Tsangyang Gyatso.","['Sela Pass', 'Tawang Monastery', 'Madhuri Lake']","12,259",https://www.holidify.com/explore/places/tawang/
Kasauli,Himachal Pradesh,4.0,"Located on the way from Chandigarh to Shimla, Kasauli is a hilly cantonment town that makes for an ideal peaceful holiday location, especially for a weekend getaway.","['Monkey Point Kasauli', 'Mall Road, Kasauli', 'Gilbert Trail']","7,999",https://www.holidify.com/explore/places/kasauli/
Dharamshala,Himachal Pradesh,4.1,"Dharamshala or Dharamsala city is located in Kangra district at a distance of 18 km from Kangra city. Dharamsala is separated as upper and lower divisions with different altitudes. The lower division is the Dharamsala town itself. whereas, the upper-division is located 3km away and popularly known as Mcleodganj. Dharamsala is prominently visited for the bus connections and the bustling market.","['Dharamshala Cricket Stadium', 'Namgyal Monastery, Mcleodganj', 'Triund']","3,800",https://www.holidify.com/explore/places/dharamsala/
Kanyakumari,Tamil Nadu,4.1,"Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin. The town is a mountainous terrain amid three seas, with elevated patches of hills, coconut trees and lined with paddy fields. Kanyakumari is also the only place in India where you can observe the sunrise and sunset at the same beach.","['Thirparappu Falls', 'Kanyakumari Beach', 'Vivekananda Rock Memorial']","3,900",https://www.holidify.com/explore/places/kanyakumari/
Vaishno,Jammu & Kashmir,4.4,"Vaishno Devi is a temple town that's home to the famous Vaishno Devi Mandir. Popularly known as Mata Rani, Vaishnavi and Trikuta, Vaishno Devi is a manifestation of the Hindu Goddess Durga. Located in Trikuta hills, 13 kms from Katra (in the union territory of Jammu and Kashmir); this renowned shrine allures millions of devotees from all over the world. It is believed that during the pooja and aarti, Goddesses arrive at the Holy cave to pay their respect to Mata Rani. Devotees believe goddess herself calls the devotees to reach here.","['Vaishno Devi\xa0Mandir', 'Katra', 'Ardhkuwari']","3,299",https://www.holidify.com/explore/places/vaishno-devi/
Goa,Goa,4.5,"Lying on the western coast, Goa is India's smallest state and unlike any other, known for its endless beaches, stellar nightlife, eclectic seafood, world-heritage listed architecture. Spread across just 3,702 km, Goa lies in the Konkan region. It is a far cry from the hippie haven or a beach getaway, and one of the only few destinations that is open 24x7. The laid-backness (susegad) of Goa attracts as many international tourists as it does Indians, or even more so.","['Calangute Beach', 'Fort Aguada', 'Cruise in Goa']","4,100",https://www.holidify.com/explore/places/goa/
Tirthan,Himachal Pradesh,4.7,"Tirthan Valley in Kullu District of Himachal Pradesh is perched at an altitude of 1600 metres above sea level. Deriving its name from Tirthan River flowing through it, Tirthan Valley lies around 3 km from the entrance of Great Himalayan National Park. This place is abundant in adventurous activities and a paradise for nature lovers.","['River Crossing', 'Serlosar Lake', 'Jalori Pass']","6,000",https://www.holidify.com/explore/places/tirthan-valley/
Kochi,Kerala,4.2,"Situated on the south-west coast of India, Kochi or Cochin is a bustling commercial port city with a trading history that dates back to at least 600 years. Called as the Queen of the Arabian Sea, the city is the financial, commercial and industrial capital of Kerala.","['Mattancherry Palace', 'Fort Kochi', 'Jewish Synagogue']","5,591",https://www.holidify.com/explore/places/kochi/
Kumarakom,Kerala,4.0,"Located at a distance of 16km from Kottayam in Kerala and located on the banks of Vembanad Lake, Kerala's largest lake, Kumarakom is a cluster of many small man-made islands reclaimed from the lake.","['Kumarakom Bird Sanctuary', 'Kumarakom Backwaters', 'Visit to Toddy Shops']","8,800",https://www.holidify.com/explore/places/kumarakom/
Alibaug,Maharashtra,3.9,"Alibaug (also spelled as Alibag) is a small coastal town in the Konkan region of Maharashtra, known for its beaches, villas, and beautiful scenery. Alibag is very popular as a weekend getaway from the cities of Mumbai and Pune.","['Alibaug Beach', 'Kolaba Fort', 'Water Sports in Alibaug']",NaN,https://www.holidify.com/explore/places/alibag/
Gir,Gujarat,4.2,"Gir National Park and Wildlife Sanctuary is the only remaining home for the Asiatic Lions. Located in Talala Gir in Gujarat, the Sanctuary is a part of Kathiawar- Gir dry deciduous forests ecoregion. Gir National Park is closed from 16 June to 15 October every year and the best time for wildlife spotting is April and May.",[],NaN,https://www.holidify.com/explore/places/gir-national-park/
Digha,West Bengal,4.1,"Beach town situated on the shores of Bay of Bengal, Digha is a popular tourist destination known for its untouched beaches and scenic views, especially among people in West Bengal.","['Marine Station/Aquarium of Zoological Survey of India', 'New Digha Beach', 'Udaipur Beach']",NaN,https://www.holidify.com/explore/places/digha/
Jog,Karnataka,4.4,"The second-highest plunge waterfall in India, Jog Falls is a major tourist attraction in Karnataka and is the highest waterfall in the state. Second, to the Nohkalikai Falls of Meghalaya, Jog falls drops about a huge 253 m (850 ft. ) in a single fall. However, due to the construction of Linganamakki Dam which is a hydroelectricity plant closeby, the flow in the falls is hugely restricted before monsoons. So, it is best to go during the Monsoon season to see the falls in its full form.",[],NaN,https://www.holidify.com/explore/places/jog-falls/
Pachmarhi,Madhya Pradesh,4.4,"Pachmarhi is the only hill station and is the highest point in Madhya Pradesh. Pachmarhi is also often known as ""Satpura ki Rani"" or the ""Queen of the Satpura Range"". Situated at an altitude of 1,067 metres, the picturesque town is a part of UNESCO Biosphere Reserve, home to leopards and bison.","['Bee falls', 'Jata Shankar caves', 'Pandava Caves']",NaN,https://www.holidify.com/explore/places/pachmarhi/
Thekkady,Kerala,4.0,"Home to the country's largest Tiger Reserve- Periyar, Thekkady is a great way to enjoy a jungle vacation.","['Periyar National Park', 'Periyar Tiger Trail', 'Bamboo Rafting']","7,464",https://www.holidify.com/explore/places/thekkady/
Diu,Daman and Diu,4.1,"Located near the port of Veraval, Diu is a small island which was earlier a Portuguese colony and is now guarded by beaches all around. Diu takes up most popularity given the ample number of beaches, along with Gujarat's southern coast such as the Nagoa beach, but has a lot more to offer too. Alcohol is legal in Diu","['Naida Caves', 'Nagoa Beach', 'Gangeshwar Mahadev Temple']",825,https://www.holidify.com/explore/places/diu/
Khajuraho,Madhya Pradesh,4.5,"Khajuraho, a UNESCO World Heritage Site located in Madhya Pradesh, is known around the world for its stunning temples adorned by erotic and sensuous carvings. A small town located in the Bundelkhand region, Khajuraho is a brilliant example of Indian architecture and its culture back in the medieval period. The architecture of these Hindu and Jain temples depict the erotic forms of love, the carvings on the walls display passion in the most sensuous yet aesthetic ways. Built between 950 to 1050 AD the sheer confrontational nature of these carvings shows a stark paradox with the conventional Indian ideals about eroticism, leaving everybody spellbound.","['Light and Sound Show, Khajuraho', 'Dulhadev Temple', 'Kandariya Mahadev Temple']",NaN,https://www.holidify.com/explore/places/khajuraho/
Bhandardara,Maharashtra,4.4,"Bhandardara, a hill station nestled in the Sahyadri ranges of Maharashtra, has all the nature's blessings a place can get. The lush greenery, the humble waterfalls and surrounded by high mountains makes for the perfect holiday spot for city dwellers.","['Umbrella Falls', 'Wilson Dam', 'Kalsubai Peak']",NaN,https://www.holidify.com/explore/places/bhandardara/
